instance_id,db,n_gold,n_pred,n_tables_db,hit,recall,precision,strict,anchor_hit,n_bridge,bridge_recovered,max_gold_rank,ms,missed
q_0,wta_1,2,3,3,2,1.000,0.667,1,1,0,0,2,7.3,
q_1,wta_1,2,3,3,2,1.000,0.667,1,1,0,0,2,5.6,
q_2,student_transcripts_tracking,3,4,11,3,1.000,0.750,1,0,1,1,3,6.2,
q_3,student_transcripts_tracking,3,4,11,3,1.000,0.750,1,0,1,1,3,4.9,
q_4,student_transcripts_tracking,3,4,11,3,1.000,0.750,1,0,2,2,4,4.4,
q_5,student_transcripts_tracking,3,4,11,2,0.667,0.500,0,0,2,1,10,4.5,addresses
q_6,student_transcripts_tracking,2,4,11,1,0.500,0.250,0,0,2,1,6,4.4,degree_programs
q_7,student_transcripts_tracking,2,4,11,1,0.500,0.250,0,0,2,1,6,4.6,degree_programs
q_8,tvshow,2,3,3,2,1.000,0.667,1,1,0,0,2,6.3,
q_9,tvshow,2,3,3,2,1.000,0.667,1,1,0,0,2,5.7,
q_10,world_1,2,3,4,2,1.000,0.667,1,0,1,1,3,6.6,
q_11,world_1,2,0,4,0,0.000,0.000,0,0,2,0,,0.3,country;countrylanguage
q_12,world_1,2,4,4,2,1.000,0.500,1,0,1,1,4,6.0,
q_13,world_1,2,4,4,2,1.000,0.500,1,0,1,1,4,5.8,
q_14,world_1,2,4,4,2,1.000,0.500,1,1,0,0,2,5.6,
q_15,world_1,2,4,4,2,1.000,0.500,1,1,0,0,2,5.7,
q_16,world_1,2,3,4,2,1.000,0.667,1,0,1,1,3,5.9,
q_17,world_1,2,3,4,2,1.000,0.667,1,0,1,1,3,5.8,
q_18,world_1,3,3,4,3,1.000,1.000,1,0,1,1,3,5.8,
q_19,world_1,3,4,4,3,1.000,0.750,1,0,1,1,3,5.4,
q_20,dog_kennels,2,4,8,2,1.000,0.500,1,1,0,0,2,6.2,
q_21,dog_kennels,2,4,8,2,1.000,0.500,1,1,0,0,2,4.8,
q_22,e_commerce,3,4,8,3,1.000,0.750,1,0,1,1,3,5.8,
q_23,e_commerce,3,4,8,2,0.667,0.500,0,0,1,0,6,4.4,orders
q_24,e_commerce,2,4,8,2,1.000,0.500,1,1,0,0,2,4.3,
q_25,e_commerce,2,4,8,2,1.000,0.500,1,1,0,0,2,4.5,
q_26,e_commerce,3,4,8,3,1.000,0.750,1,0,2,2,4,4.3,
q_27,e_commerce,4,4,8,3,0.750,0.750,0,0,2,1,5,4.5,orders
q_28,e_commerce,4,4,8,3,0.750,0.750,0,0,2,1,5,5.5,orders
q_29,cre_Students_Information_Systems,3,4,15,3,1.000,0.750,1,0,1,1,3,5.2,
q_30,cre_Students_Information_Systems,3,4,15,3,1.000,0.750,1,0,1,1,3,4.0,
q_31,cre_Students_Information_Systems,2,4,15,2,1.000,0.500,1,1,0,0,2,4.0,
q_32,cre_Students_Information_Systems,2,4,15,2,1.000,0.500,1,1,0,0,2,4.5,
q_33,cre_Students_Information_Systems,3,4,15,3,1.000,0.750,1,0,1,1,3,4.0,
q_34,cre_Students_Information_Systems,3,4,15,3,1.000,0.750,1,0,1,1,3,3.9,
q_35,cre_Students_Information_Systems,2,4,15,2,1.000,0.500,1,1,0,0,2,4.0,
q_36,cre_Students_Information_Systems,2,4,15,2,1.000,0.500,1,1,0,0,2,4.6,
q_37,cre_Students_Information_Systems,2,4,15,2,1.000,0.500,1,1,0,0,2,4.2,
q_38,cre_Students_Information_Systems,2,4,15,2,1.000,0.500,1,1,0,0,2,4.0,
q_39,cre_Students_Information_Systems,3,4,15,3,1.000,0.750,1,0,1,1,3,4.0,
q_40,cre_Students_Information_Systems,3,4,15,2,0.667,0.500,0,0,1,0,7,3.9,students
q_41,real_estate_rentals,4,4,13,3,0.750,0.750,0,0,2,1,9,6.6,features
q_42,real_estate_rentals,4,4,13,3,0.750,0.750,0,0,2,1,9,5.1,features
q_43,real_estate_rentals,3,4,13,3,1.000,0.750,1,0,1,1,4,4.5,
q_44,real_estate_rentals,3,4,13,3,1.000,0.750,1,0,1,1,4,4.8,
q_45,cre_Doc_Workflow,3,4,9,3,1.000,0.750,1,0,1,1,3,4.3,
q_46,advertising_agencies,3,4,7,3,1.000,0.750,1,0,1,1,3,4.3,
q_47,advertising_agencies,3,4,7,3,1.000,0.750,1,0,1,1,3,3.9,
q_48,advertising_agencies,4,4,7,4,1.000,1.000,1,0,2,2,4,4.1,
q_49,advertising_agencies,4,4,7,4,1.000,1.000,1,0,2,2,4,4.3,
q_50,product_catalog,2,4,5,2,1.000,0.500,1,1,0,0,2,5.4,
q_51,product_catalog,2,4,5,2,1.000,0.500,1,1,0,0,2,3.9,
q_52,store_1,3,4,12,3,1.000,0.750,1,0,1,1,3,5.4,
q_53,store_1,3,4,12,3,1.000,0.750,1,0,1,1,3,4.4,
q_54,store_1,3,4,12,3,1.000,0.750,1,0,1,1,3,4.2,
q_55,store_1,3,4,12,3,1.000,0.750,1,0,1,1,3,4.6,
q_56,chinook_1,3,4,11,3,1.000,0.750,1,0,1,1,3,5.8,
q_57,chinook_1,3,4,11,3,1.000,0.750,1,0,1,1,3,4.7,
q_58,apartment_rentals,2,4,6,2,1.000,0.500,1,0,1,1,3,5.2,
q_59,apartment_rentals,2,4,6,2,1.000,0.500,1,0,1,1,3,4.2,
q_60,apartment_rentals,2,4,6,2,1.000,0.500,1,1,0,0,2,3.9,
q_61,apartment_rentals,2,4,6,2,1.000,0.500,1,1,0,0,2,3.9,
q_62,products_for_hire,2,4,7,2,1.000,0.500,1,1,0,0,2,5.2,
q_63,cre_Doc_Control_Systems,2,4,11,2,1.000,0.500,1,1,0,0,2,5.0,
q_64,cre_Doc_Control_Systems,2,4,11,2,1.000,0.500,1,1,0,0,2,4.2,
q_65,cre_Doc_Control_Systems,2,4,11,2,1.000,0.500,1,1,0,0,2,4.2,
q_66,cre_Doc_Control_Systems,2,4,11,2,1.000,0.500,1,0,1,1,4,3.8,
q_67,formula_1,3,4,13,2,0.667,0.500,0,0,1,0,6,6.2,results
q_68,formula_1,3,4,13,2,0.667,0.500,0,0,1,0,6,4.2,results
q_69,formula_1,3,4,13,3,1.000,0.750,1,0,1,1,4,4.2,
q_70,formula_1,3,4,13,2,0.667,0.500,0,0,1,0,7,4.1,results
q_71,formula_1,3,4,13,2,0.667,0.500,0,0,2,1,6,3.9,results
q_72,formula_1,3,4,13,2,0.667,0.500,0,0,2,1,6,4.0,results
q_73,formula_1,3,4,13,2,0.667,0.500,0,0,2,1,6,5.1,results
q_74,formula_1,3,4,13,2,0.667,0.500,0,0,2,1,6,6.6,results
q_75,customer_deliveries,3,4,13,3,1.000,0.750,1,0,1,1,3,9.5,
q_76,assets_maintenance,3,4,14,3,1.000,0.750,1,0,2,2,4,8.5,
q_77,assets_maintenance,3,4,14,3,1.000,0.750,1,0,1,1,3,6.8,
q_78,assets_maintenance,2,4,14,2,1.000,0.500,1,1,0,0,2,6.7,
q_79,college_1,4,4,7,3,0.750,0.750,0,0,3,2,6,9.5,employee
q_80,college_1,4,4,7,3,0.750,0.750,0,0,3,2,5,7.5,class
q_81,college_1,5,4,7,4,0.800,1.000,0,0,3,2,6,7.6,course
q_82,college_1,5,4,7,3,0.600,0.750,0,0,3,1,7,7.8,course;department
q_83,college_1,5,4,7,3,0.600,0.750,0,0,3,1,6,7.5,class;employee
q_84,college_1,5,4,7,3,0.600,0.750,0,0,3,1,6,7.9,class;employee
q_85,college_1,4,4,7,3,0.750,0.750,0,0,2,1,6,7.6,employee
q_86,college_1,4,4,7,2,0.500,0.500,0,0,2,0,6,7.6,class;employee
q_87,hr_1,4,4,7,3,0.750,0.750,0,0,2,1,5,9.0,departments
q_88,hr_1,4,4,7,2,0.500,0.500,0,0,2,0,6,7.2,departments;locations
q_89,insurance_policies,2,4,5,2,1.000,0.500,1,1,0,0,2,7.4,
q_90,insurance_policies,2,4,5,2,1.000,0.500,1,1,0,0,2,6.1,
q_91,insurance_policies,3,4,5,3,1.000,0.750,1,0,1,1,3,5.9,
q_92,insurance_policies,3,4,5,3,1.000,0.750,1,0,1,1,3,6.2,
q_93,hospital_1,3,4,15,3,1.000,0.750,1,0,1,1,3,10.8,
q_94,hospital_1,3,4,15,3,1.000,0.750,1,0,1,1,3,8.6,
q_95,tracking_grants_for_research,2,4,12,2,1.000,0.500,1,1,0,0,2,8.6,
q_96,tracking_grants_for_research,2,4,12,2,1.000,0.500,1,0,1,1,3,7.0,
q_97,tracking_grants_for_research,4,4,12,3,0.750,0.750,0,0,2,1,5,7.0,organisations
q_98,tracking_grants_for_research,4,4,12,2,0.500,0.500,0,0,2,0,10,6.9,organisation_types;organisations
q_99,tracking_grants_for_research,3,4,12,3,1.000,0.750,1,0,1,1,3,6.9,
q_100,tracking_grants_for_research,3,4,12,3,1.000,0.750,1,0,1,1,4,7.0,
q_101,tracking_grants_for_research,3,4,12,3,1.000,0.750,1,0,1,1,3,6.9,
q_102,tracking_grants_for_research,3,4,12,3,1.000,0.750,1,0,1,1,4,7.1,
q_103,document_management,3,4,9,3,1.000,0.750,1,0,1,1,3,9.4,
q_104,document_management,3,4,9,3,1.000,0.750,1,0,1,1,3,7.9,
q_105,customers_campaigns_ecommerce,2,4,8,2,1.000,0.500,1,1,0,0,2,8.3,
q_106,department_store,2,4,14,2,1.000,0.500,1,1,0,0,2,9.3,
q_107,department_store,2,4,14,2,1.000,0.500,1,1,0,0,2,7.2,
q_108,department_store,2,4,14,2,1.000,0.500,1,0,1,1,3,7.3,
q_109,department_store,2,4,14,2,1.000,0.500,1,1,0,0,2,7.6,
q_110,department_store,4,4,14,2,0.500,0.500,0,0,3,1,11,7.4,order_items;products
q_111,department_store,4,4,14,2,0.500,0.500,0,0,3,1,12,7.0,order_items;products
q_112,department_store,2,4,14,2,1.000,0.500,1,1,0,0,2,7.3,
q_113,department_store,2,4,14,2,1.000,0.500,1,1,0,0,2,7.6,
