instance_id,db,n_gold,n_pred,n_tables_db,hit,recall,precision,strict,anchor_hit,n_bridge,bridge_recovered,max_gold_rank,ms,missed
q_0,wta_1,2,3,3,2,1.000,0.667,1,1,0,0,2,9.7,
q_1,wta_1,2,3,3,2,1.000,0.667,1,1,0,0,2,7.5,
q_2,student_transcripts_tracking,3,8,11,3,1.000,0.375,1,1,0,0,3,9.4,
q_3,student_transcripts_tracking,3,8,11,3,1.000,0.375,1,1,0,0,3,7.4,
q_4,student_transcripts_tracking,3,8,11,3,1.000,0.375,1,1,0,0,4,6.8,
q_5,student_transcripts_tracking,3,8,11,2,0.667,0.250,0,0,1,0,10,7.0,addresses
q_6,student_transcripts_tracking,2,8,11,2,1.000,0.250,1,0,1,1,6,6.8,
q_7,student_transcripts_tracking,2,8,11,2,1.000,0.250,1,0,1,1,6,6.5,
q_8,tvshow,2,3,3,2,1.000,0.667,1,1,0,0,2,8.2,
q_9,tvshow,2,3,3,2,1.000,0.667,1,1,0,0,2,7.2,
q_10,world_1,2,3,4,2,1.000,0.667,1,1,0,0,3,8.4,
q_11,world_1,2,0,4,0,0.000,0.000,0,0,2,0,,0.4,country;countrylanguage
q_12,world_1,2,4,4,2,1.000,0.500,1,0,1,1,4,7.5,
q_13,world_1,2,4,4,2,1.000,0.500,1,0,1,1,4,7.4,
q_14,world_1,2,4,4,2,1.000,0.500,1,1,0,0,2,7.6,
q_15,world_1,2,4,4,2,1.000,0.500,1,1,0,0,2,7.5,
q_16,world_1,2,3,4,2,1.000,0.667,1,1,0,0,3,8.7,
q_17,world_1,2,3,4,2,1.000,0.667,1,1,0,0,3,7.5,
q_18,world_1,3,3,4,3,1.000,1.000,1,1,0,0,3,7.5,
q_19,world_1,3,4,4,3,1.000,0.750,1,1,0,0,3,7.1,
q_20,dog_kennels,2,7,8,2,1.000,0.286,1,1,0,0,2,7.9,
q_21,dog_kennels,2,7,8,2,1.000,0.286,1,1,0,0,2,7.0,
q_22,e_commerce,3,8,8,3,1.000,0.375,1,1,0,0,3,7.7,
q_23,e_commerce,3,7,8,3,1.000,0.429,1,0,1,1,6,6.7,
q_24,e_commerce,2,7,8,2,1.000,0.286,1,1,0,0,2,6.1,
q_25,e_commerce,2,7,8,2,1.000,0.286,1,1,0,0,2,6.3,
q_26,e_commerce,3,7,8,3,1.000,0.429,1,1,0,0,4,6.2,
q_27,e_commerce,4,7,8,4,1.000,0.571,1,0,1,1,5,6.5,
q_28,e_commerce,4,7,8,4,1.000,0.571,1,0,1,1,5,6.5,
q_29,cre_Students_Information_Systems,3,8,15,3,1.000,0.375,1,1,0,0,3,7.5,
q_30,cre_Students_Information_Systems,3,8,15,3,1.000,0.375,1,1,0,0,3,5.7,
q_31,cre_Students_Information_Systems,2,8,15,2,1.000,0.250,1,1,0,0,2,5.4,
q_32,cre_Students_Information_Systems,2,8,15,2,1.000,0.250,1,1,0,0,2,5.3,
q_33,cre_Students_Information_Systems,3,8,15,3,1.000,0.375,1,1,0,0,3,5.0,
q_34,cre_Students_Information_Systems,3,8,15,3,1.000,0.375,1,1,0,0,3,4.8,
