instance_id,db,ex,ex_by_score,oracle,chosen_by,score,nodes,stopped_early,table_recall,tokens_in,tokens_out,tokens_reasoning,cost_usd,ms,error
local286,electronic_sales,1,1,1,selector,0.9184,12,True,1.0,333688,50156,35597,0.472651,560045,
local275,oracle_sql,1,1,1,selector,0.7552,16,False,0.5,336252,90287,67927,0.736966,751752,
local004,E_commerce,1,0,1,selector,0.9269,4,True,1.0,105271,12735,8738,0.138907,102562,
local008,Baseball,1,0,1,selector,0.9286,12,True,1.0,403897,77523,62380,0.64694,721096,
local015,California_Traffic_Collision,0,0,0,selector,0.8504,16,False,1.0,382270,75387,56180,0.659266,715570,
local019,WWE,1,1,1,selector,0.9226,8,True,0.4286,156183,29147,22675,0.270709,464525,
local032,Brazilian_E_Commerce,0,0,1,selector,0.9482,4,True,0.8,162347,10733,4841,0.147074,106649,
local039,Pagila,1,1,1,selector,0.9473,4,True,0.875,80481,7356,3485,0.095486,46543,
local055,chinook,1,1,1,score,0.9354,4,True,0.8333,63563,9318,4234,0.087693,56226,
local064,bank_sales_trading,0,0,1,selector,0.8963,16,False,1.0,293986,51376,29591,0.429842,503580,
local081,northwind,1,1,1,selector,0.9142,4,True,1.0,88098,5961,2299,0.077292,33303,
local114,education_business,1,1,1,score,0.9286,4,True,1.0,50466,8067,3515,0.071779,43582,
local141,AdventureWorks,1,0,1,selector,0.9175,4,True,1.0,121823,8474,3572,0.095999,58437,
local152,imdb_movies,0,0,0,selector,0.9567,4,True,1.0,73685,13706,10117,0.129099,121710,
local169,city_legislation,1,1,1,selector,0.7943,16,False,0.5,386533,92699,71742,0.783908,1027050,
local194,sqlite-sakila,0,0,0,selector,0.9193,12,True,1.0,262249,31780,17979,0.32329,315592,
local201,modern_data,1,1,1,score,0.8921,16,False,1.0,292938,86144,63912,0.693427,887786,
local210,delivery_center,1,1,1,score,0.9124,4,True,1.0,55822,5218,1521,0.060568,29860,
local283,EU_soccer,1,1,1,selector,0.9439,8,True,1.0,182959,31227,20092,0.273004,248850,
local330,log,0,0,0,score,0.9193,4,True,1.0,83322,8362,4716,0.089384,49955,
local354,f1,1,1,1,score,0.9414,4,True,0.0,129154,17144,11480,0.172369,153019,
