instance_id,db,dialect,n_gold,n_pred,n_tables_db,hit,recall,precision,strict,anchor_hit,max_gold_rank,ms,missed
bq011,ga4,bigquery,1,1,1,1,1.000,1.000,1,1,1,1485.7,
bq010,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,30.3,
bq009,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,31.8,
bq001,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,28.2,
bq002,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,29.3,
bq003,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,29.1,
bq004,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,28.5,
bq008,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,28.9,
bq269,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,13.2,
bq268,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,12.8,
bq270,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,19.2,
bq275,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,12.6,
bq374,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,14.7,
sf_bq029,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,12.4,
sf_bq026,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,7.1,
sf_bq091,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,6.1,
sf_bq099,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,7.0,
sf_bq033,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,6.7,
sf_bq209,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,7.9,
sf_bq027,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,6.7,
sf_bq210,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,6.1,
sf_bq211,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,6.2,
sf_bq213,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,29.2,
sf_bq212,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,30.8,
sf_bq214,PATENTS_GOOGLE,snowflake,2,4,4,2,1.000,0.500,1,1,2,36.1,
sf_bq216,PATENTS_GOOGLE,snowflake,2,4,4,2,1.000,0.500,1,1,2,31.2,
sf_bq247,PATENTS_GOOGLE,snowflake,2,4,4,2,1.000,0.500,1,1,2,7.7,
sf_bq127,PATENTS_GOOGLE,snowflake,2,4,4,2,1.000,0.500,1,1,2,8.0,
sf_bq215,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,29.4,
sf_bq222,PATENTS,snowflake,2,3,3,2,1.000,0.667,1,1,2,17.7,
sf_bq221,PATENTS,snowflake,2,3,3,2,1.000,0.667,1,1,2,17.2,
sf_bq223,PATENTS,snowflake,2,3,3,2,1.000,0.667,1,1,2,59.3,
sf_bq420,PATENTS_USPTO,snowflake,3,20,46,2,0.667,0.100,0,0,42,46.7,patents_uspto.uspto_oce_office_actions.match_app
sf_bq207,PATENTS_USPTO,snowflake,3,20,46,2,0.667,0.100,0,0,28,25.2,patents_uspto.uspto_oce_assignment.match
sf_bq128,PATENTSVIEW,snowflake,4,20,59,3,0.750,0.150,0,0,21,59.6,patentsview.patentsview.uspatentcitation
sf_bq246,PATENTSVIEW,snowflake,3,20,59,3,1.000,0.150,1,1,6,19.8,
sf_bq052,PATENTSVIEW,snowflake,5,20,59,5,1.000,0.250,1,0,18,21.3,
sf_bq036,GITHUB_REPOS,snowflake,2,6,6,2,1.000,0.333,1,0,6,8.6,
sf_bq100,GITHUB_REPOS,snowflake,1,6,6,1,1.000,0.167,1,1,1,5.3,
sf_bq101,GITHUB_REPOS,snowflake,1,6,6,1,1.000,0.167,1,1,1,5.1,
sf_bq182,GITHUB_REPOS_DATE,snowflake,2,9,9,2,1.000,0.222,1,0,8,9.7,
sf_bq217,GITHUB_REPOS_DATE,snowflake,2,9,9,2,1.000,0.222,1,0,8,5.8,
sf_bq191,GITHUB_REPOS_DATE,snowflake,3,9,9,3,1.000,0.333,1,0,9,5.9,
sf_bq224,GITHUB_REPOS_DATE,snowflake,2,9,9,2,1.000,0.222,1,0,9,5.9,
sf_bq192,GITHUB_REPOS_DATE,snowflake,3,9,9,3,1.000,0.333,1,0,8,7.4,
sf_bq225,GITHUB_REPOS,snowflake,2,6,6,2,1.000,0.333,1,1,2,8.0,
sf_bq180,GITHUB_REPOS,snowflake,2,6,6,2,1.000,0.333,1,1,2,5.0,
sf_bq233,GITHUB_REPOS,snowflake,2,6,6,2,1.000,0.333,1,1,3,4.9,
sf_bq248,GITHUB_REPOS,snowflake,3,6,6,3,1.000,0.500,1,1,3,4.6,
sf_bq193,GITHUB_REPOS,snowflake,3,6,6,3,1.000,0.500,1,0,3,5.3,
sf_bq295,GITHUB_REPOS_DATE,snowflake,3,9,9,3,1.000,0.333,1,0,6,6.1,
sf_bq249,GITHUB_REPOS,snowflake,1,6,6,1,1.000,0.167,1,0,2,5.0,
sf_bq375,GITHUB_REPOS,snowflake,1,6,6,1,1.000,0.167,1,1,1,4.2,
sf_bq255,GITHUB_REPOS,snowflake,3,6,6,3,1.000,0.500,1,1,3,4.3,
sf_bq194,GITHUB_REPOS,snowflake,2,6,6,2,1.000,0.333,1,1,2,4.5,
sf_bq377,GITHUB_REPOS,snowflake,1,6,6,1,1.000,0.167,1,1,1,4.2,
sf_bq359,GITHUB_REPOS,snowflake,2,6,6,2,1.000,0.333,1,1,2,4.3,
sf_bq252,GITHUB_REPOS,snowflake,2,6,6,2,1.000,0.333,1,1,2,4.3,
sf_bq251,PYPI,snowflake,2,2,2,2,1.000,1.000,1,1,2,11.7,
bq019,cms_data,bigquery,1,12,38,1,1.000,0.083,1,1,4,60.2,
bq234,cms_data,bigquery,1,10,38,1,1.000,0.100,1,1,2,34.7,
bq235,cms_data,bigquery,2,11,38,2,1.000,0.182,1,1,5,36.1,
bq172,cms_data,bigquery,1,14,38,1,1.000,0.071,1,1,2,37.7,
bq177,cms_data,bigquery,2,12,38,2,1.000,0.167,1,1,5,38.5,
bq354,cms_data,bigquery,5,20,38,5,1.000,0.250,1,0,19,47.8,
bq355,cms_data,bigquery,4,5,38,0,0.000,0.000,0,0,32,35.7,bigquery-public-data.cms_synthetic_patient_data_omop.concept;bigquery-public-data.cms_synthetic_patient_data_omop.concept_ancestor;bigquery-public-data.cms_synthetic_patient_data_omop.drug_exposure;bigquery-public-data.cms_synthetic_patient_data_omop.person
bq032,noaa_data,bigquery,1,20,33,1,1.000,0.050,1,1,1,145.3,
bq119,noaa_data,bigquery,1,19,33,1,1.000,0.053,1,1,1,117.5,
sf_bq117,NOAA_DATA,snowflake,1,12,33,1,1.000,0.083,1,1,2,76.6,
bq419,noaa_data,bigquery,1,13,33,1,1.000,0.077,1,1,1,7283.9,
sf_bq071,NOAA_DATA_PLUS,snowflake,2,20,48,2,1.000,0.100,1,1,4,166.1,
sf_bq236,NOAA_DATA_PLUS,snowflake,2,20,48,2,1.000,0.100,1,1,6,126.3,
bq356,noaa_data,bigquery,2,13,33,2,1.000,0.154,1,0,9,74.1,
bq042,noaa_data,bigquery,1,16,33,1,1.000,0.062,1,1,4,119.1,
bq394,noaa_data,bigquery,1,10,33,1,1.000,0.100,1,1,2,54.0,
bq357,noaa_data,bigquery,1,20,33,1,1.000,0.050,1,1,2,55.2,
bq181,noaa_data,bigquery,2,13,33,2,1.000,0.154,1,0,9,66.5,
bq045,noaa_data,bigquery,2,20,33,2,1.000,0.100,1,0,8,58.1,
sf_bq358,NEW_YORK_CITIBIKE_1,snowflake,3,12,21,3,1.000,0.250,1,1,3,51.5,
bq290,noaa_data,bigquery,2,15,33,2,1.000,0.133,1,0,9,78.8,
bq031,noaa_data,bigquery,2,12,33,1,0.500,0.083,0,0,27,82.9,bigquery-public-data.noaa_gsod.stations
bq392,noaa_gsod,bigquery,1,2,2,1,1.000,0.500,1,1,1,6.1,
sf_bq050,NEW_YORK_CITIBIKE_1,snowflake,5,12,21,4,0.800,0.333,0,0,16,56.8,new_york_citibike_1.noaa_gsod.stations
sf_bq426,NEW_YORK_CITIBIKE_1,snowflake,4,12,21,3,0.750,0.250,0,0,13,35.8,new_york_citibike_1.noaa_gsod.stations
sf_bq291,NOAA_GLOBAL_FORECAST_SYSTEM,snowflake,1,11,11,1,1.000,0.091,1,1,1,12.7,
bq208,new_york_noaa,bigquery,2,11,11,2,1.000,0.182,1,0,10,58.7,
bq047,new_york_noaa,bigquery,2,11,11,2,1.000,0.182,1,1,3,27.6,
bq048,new_york_noaa,bigquery,2,11,11,2,1.000,0.182,1,0,6,23.3,
bq293,new_york_geo,bigquery,2,12,24,2,1.000,0.167,1,0,5,102.6,
sf_bq017,GEO_OPENSTREETMAP,snowflake,1,10,10,1,1.000,0.100,1,1,1,9.9,
sf_bq131,GEO_OPENSTREETMAP,snowflake,1,10,10,1,1.000,0.100,1,1,1,7.9,
sf_bq349,GEO_OPENSTREETMAP,snowflake,2,10,10,2,1.000,0.200,1,1,4,8.5,
sf_bq007,CENSUS_BUREAU_ACS_2,snowflake,2,20,32,2,1.000,0.100,1,0,16,586.9,
sf_bq429,CENSUS_BUREAU_ACS_2,snowflake,2,20,32,2,1.000,0.100,1,0,16,178.2,
sf_bq073,CENSUS_BUREAU_ACS_2,snowflake,2,20,32,2,1.000,0.100,1,0,15,244.1,
sf_bq410,CENSUS_BUREAU_ACS_2,snowflake,2,20,32,2,1.000,0.100,1,0,20,249.7,
sf_bq348,GEO_OPENSTREETMAP,snowflake,2,10,10,2,1.000,0.200,1,1,3,13.0,
sf_bq253,GEO_OPENSTREETMAP,snowflake,2,10,10,2,1.000,0.200,1,0,5,8.5,
sf_bq254,GEO_OPENSTREETMAP,snowflake,1,10,10,1,1.000,0.100,1,1,3,8.2,
sf_bq056,GEO_OPENSTREETMAP_BOUNDARIES,snowflake,2,12,25,1,0.500,0.083,0,0,13,38.8,geo_openstreetmap_boundaries.geo_us_boundaries.states
sf_bq289,GEO_OPENSTREETMAP_CENSUS_PLACES,snowflake,2,20,67,2,1.000,0.100,1,1,5,316.8,
sf_bq250,GEO_OPENSTREETMAP_WORLDPOP,snowflake,2,11,11,2,1.000,0.182,1,1,3,17.1,
sf_bq083,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,0,7,131.0,
sf_bq184,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,2,79.6,
sf_bq195,CRYPTO,snowflake,3,20,39,3,1.000,0.150,1,0,9,74.2,
sf_bq256,CRYPTO,snowflake,3,20,39,3,1.000,0.150,1,0,9,82.3,
sf_bq080,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,2,103.9,
sf_bq342,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,4,78.7,
sf_bq341,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,2,75.1,
sf_bq444,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,2,110.5,
sf_bq340,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,4,72.8,
sf_bq005,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,4,75.0,
sf_bq334,CRYPTO,snowflake,3,20,39,3,1.000,0.150,1,0,7,80.9,
sf_bq335,CRYPTO,snowflake,2,20,39,2,1.000,0.100,1,0,7,72.2,
sf_bq057,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,3,81.7,
sf_bq068,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,2,74.3,
sf_bq092,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,0,13,78.6,
sf_bq093,CRYPTO,snowflake,3,20,39,3,1.000,0.150,1,0,14,79.2,
sf_bq292,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,3,80.0,
sf_bq135,CRYPTO,snowflake,2,20,39,2,1.000,0.100,1,0,7,66.0,
sf_bq136,CRYPTO,snowflake,2,20,39,2,1.000,0.100,1,1,5,84.5,
sf_bq065,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,1,75.8,
sf_bq037,HUMAN_GENOME_VARIANTS,snowflake,1,8,8,1,1.000,0.125,1,1,1,22.5,
sf_bq012,ETHEREUM_BLOCKCHAIN,snowflake,3,7,7,3,1.000,0.429,1,1,4,18.2,
sf_bq187,ETHEREUM_BLOCKCHAIN,snowflake,2,7,7,2,1.000,0.286,1,1,4,9.5,
sf_bq450,ETHEREUM_BLOCKCHAIN,snowflake,5,7,7,5,1.000,0.714,1,0,5,52.7,
bq034,ghcn_d,bigquery,1,5,5,1,1.000,0.200,1,1,1,7.1,
bq383,ghcn_d,bigquery,1,5,5,1,1.000,0.200,1,1,2,5.2,
bq051,new_york_ghcn,bigquery,3,10,14,3,1.000,0.300,1,0,10,35.4,
bq038,new_york,bigquery,1,9,9,1,1.000,0.111,1,1,2,20.2,
bq053,new_york,bigquery,2,9,9,2,1.000,0.222,1,1,2,21.6,
bq054,new_york,bigquery,1,9,9,1,1.000,0.111,1,1,1,17.5,
bq021,new_york,bigquery,2,9,9,2,1.000,0.222,1,1,4,17.0,
bq202,new_york_plus,bigquery,1,12,18,1,1.000,0.083,1,1,1,31.1,
bq185,new_york_plus,bigquery,2,12,18,2,1.000,0.167,1,0,8,22.3,
bq040,new_york_plus,bigquery,2,12,18,2,1.000,0.167,1,0,6,34.7,
bq098,new_york_plus,bigquery,2,10,18,2,1.000,0.200,1,0,7,34.1,
bq039,new_york_plus,bigquery,2,10,18,2,1.000,0.200,1,0,6,27.1,
bq203,new_york_plus,bigquery,2,12,18,2,1.000,0.167,1,1,4,19.4,
bq035,san_francisco,bigquery,2,8,8,2,1.000,0.250,1,1,2,22.2,
bq186,san_francisco,bigquery,1,8,8,1,1.000,0.125,1,1,1,12.2,
bq081,san_francisco_plus,bigquery,3,12,19,3,1.000,0.250,1,0,7,37.7,
sf_bq294,SAN_FRANCISCO_PLUS,snowflake,3,12,19,3,1.000,0.250,1,0,11,36.0,
bq339,san_francisco_plus,bigquery,1,12,19,1,1.000,0.083,1,1,1,26.2,
bq400,san_francisco_plus,bigquery,3,7,19,3,1.000,0.429,1,0,7,21.4,
bq059,san_francisco_plus,bigquery,3,12,19,3,1.000,0.250,1,0,8,21.3,
bq376,san_francisco_plus,bigquery,6,12,19,6,1.000,0.500,1,0,9,20.3,
sf_bq014,THELOOK_ECOMMERCE,snowflake,3,7,7,3,1.000,0.429,1,1,4,9.4,
sf_bq188,THELOOK_ECOMMERCE,snowflake,3,7,7,3,1.000,0.429,1,0,6,6.5,
sf_bq258,THELOOK_ECOMMERCE,snowflake,3,7,7,3,1.000,0.429,1,1,4,7.0,
sf_bq259,THELOOK_ECOMMERCE,snowflake,1,7,7,1,1.000,0.143,1,1,2,5.6,
sf_bq189,THELOOK_ECOMMERCE,snowflake,3,7,7,3,1.000,0.429,1,1,4,6.7,
sf_bq260,THELOOK_ECOMMERCE,snowflake,1,7,7,1,1.000,0.143,1,1,1,5.1,
sf_bq261,THELOOK_ECOMMERCE,snowflake,2,7,7,2,1.000,0.286,1,1,4,5.9,
sf_bq262,THELOOK_ECOMMERCE,snowflake,3,7,7,3,1.000,0.429,1,1,4,6.7,
sf_bq190,THELOOK_ECOMMERCE,snowflake,1,7,7,1,1.000,0.143,1,1,1,6.0,
sf_bq263,THELOOK_ECOMMERCE,snowflake,3,7,7,3,1.000,0.429,1,1,4,6.5,
sf_bq264,THELOOK_ECOMMERCE,snowflake,1,7,7,1,1.000,0.143,1,1,1,5.1,
sf_bq197,THELOOK_ECOMMERCE,snowflake,2,7,7,2,1.000,0.286,1,1,3,6.2,
sf_bq265,THELOOK_ECOMMERCE,snowflake,3,7,7,3,1.000,0.429,1,1,3,5.7,
sf_bq266,THELOOK_ECOMMERCE,snowflake,2,7,7,2,1.000,0.286,1,1,3,5.5,
sf_bq333,THELOOK_ECOMMERCE,snowflake,1,7,7,1,1.000,0.143,1,1,1,5.7,
sf_bq361,THELOOK_ECOMMERCE,snowflake,1,7,7,1,1.000,0.143,1,1,3,8.2,
sf_bq271,THELOOK_ECOMMERCE,snowflake,5,7,7,5,1.000,0.714,1,0,7,6.4,
sf_bq272,THELOOK_ECOMMERCE,snowflake,2,7,7,2,1.000,0.286,1,1,3,6.2,
sf_bq273,THELOOK_ECOMMERCE,snowflake,4,7,7,4,1.000,0.571,1,0,5,6.8,
sf_bq020,GENOMICS_CANNABIS,snowflake,2,7,7,2,1.000,0.286,1,1,3,14.9,
sf_bq107,GENOMICS_CANNABIS,snowflake,2,7,7,2,1.000,0.286,1,1,3,7.6,
bq025,census_bureau_international,bigquery,2,8,8,2,1.000,0.250,1,1,4,12.6,
bq115,census_bureau_international,bigquery,2,8,8,2,1.000,0.250,1,0,7,8.5,
bq030,covid19_open_data,bigquery,1,1,1,1,1.000,1.000,1,1,1,29.8,
bq018,covid19_open_data,bigquery,1,1,1,1,1.000,1.000,1,1,1,25.0,
bq086,covid19_open_world_bank,bigquery,2,5,22,2,1.000,0.400,1,0,3,52.2,
bq085,covid19_jhu_world_bank,bigquery,2,12,25,2,1.000,0.167,1,0,12,75.4,
bq130,covid19_nyt,bigquery,2,4,4,2,1.000,0.500,1,1,2,6.9,
bq087,covid19_symptom_search,bigquery,1,4,4,1,1.000,0.250,1,1,2,50.4,
bq088,covid19_symptom_search,bigquery,1,4,4,1,1.000,0.250,1,1,1,48.9,
bq089,covid19_usa,bigquery,2,12,22,1,0.500,0.083,0,0,21,180.4,bigquery-public-data.covid19_vaccination_access.facility_boundary_us_all
bq407,covid19_usa,bigquery,2,12,22,1,0.500,0.083,0,0,17,324.4,bigquery-public-data.covid19_usafacts.summary
bq137,census_bureau_usa,bigquery,2,10,13,2,1.000,0.200,1,0,5,31.8,
bq060,census_bureau_international,bigquery,2,8,8,2,1.000,0.250,1,1,3,8.8,
bq338,census_bureau_acs_1,bigquery,1,20,87,1,1.000,0.050,1,1,2,234.6,
bq061,census_bureau_acs_1,bigquery,2,20,87,2,1.000,0.100,1,0,15,361.0,
bq064,census_bureau_acs_1,bigquery,3,20,87,2,0.667,0.100,0,0,,365.4,bigquery-public-data.geo_census_tracts.us_census_tracts_national
bq461,ncaa_basketball,bigquery,1,10,10,1,1.000,0.100,1,1,2,45.9,
bq198,ncaa_basketball,bigquery,1,10,10,1,1.000,0.100,1,0,6,24.5,
