instance_id,db,dialect,n_gold,n_pred,n_tables_db,hit,recall,precision,strict,anchor_hit,max_gold_rank,ms,n_cols_db,n_cols_graph,ddl_tokens,n_gold_cols,n_pred_cols,col_recall,col_precision,col_strict,unresolved_cols,missed,missed_cols
bq011,ga4,bigquery,1,1,1,1,1.000,1.000,1,1,1,2122.4,2116,108,1318,3,60,1.000,0.050,1,3,,
bq010,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,299.7,5522,338,2787,,,,,,7,,
bq009,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,58.4,5522,338,2781,,,,,,7,,
bq001,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,71.1,5522,338,2765,3,60,1.000,0.050,1,8,,
bq002,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,96.9,5522,338,2890,2,60,1.000,0.033,1,11,,
bq003,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,90.1,5522,338,2880,,,,,,11,,
bq004,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,96.8,5522,338,2786,,,,,,8,,
bq008,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,80.1,5522,338,2800,4,60,1.000,0.067,1,11,,
bq269,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,53.9,5522,338,2982,2,60,0.500,0.017,0,7,,ga_sessions_*.date
bq268,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,29.9,5522,338,1134,4,60,0.500,0.033,0,9,,ga_sessions_*.date;ga_sessions_*.hits
bq270,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,57.7,5522,338,1083,,,,,,10,,
bq275,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,26.5,5522,338,970,3,60,0.667,0.033,0,5,,ga_sessions_*.hits
bq374,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,54.2,5522,338,3005,,,,,,11,,
sf_bq029,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,307.0,79,79,2426,,,,,,,,
sf_bq026,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,14.7,79,79,2436,,,,,,,,
sf_bq091,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,12.8,79,79,2436,4,79,1.000,0.051,1,4,,
sf_bq099,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,17.2,79,79,2436,5,79,1.000,0.063,1,8,,
sf_bq033,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,16.8,79,79,2348,4,79,1.000,0.051,1,5,,
sf_bq209,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,14.4,79,79,2426,5,79,1.000,0.063,1,5,,
sf_bq027,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,13.7,79,79,2426,,,,,,,,
sf_bq210,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,14.7,79,79,2426,4,79,1.000,0.051,1,3,,
sf_bq211,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,14.2,79,79,2436,,,,,,,,
sf_bq213,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,46.7,79,79,2348,4,79,1.000,0.051,1,2,,
sf_bq212,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,34.0,79,79,2348,,,,,,,,
sf_bq214,PATENTS_GOOGLE,snowflake,2,4,4,2,1.000,0.500,1,1,2,255.2,87,87,2799,,,,,,,,
sf_bq216,PATENTS_GOOGLE,snowflake,2,4,4,2,1.000,0.500,1,1,2,38.5,87,87,2799,5,87,1.000,0.057,1,10,,
sf_bq247,PATENTS_GOOGLE,snowflake,2,4,4,2,1.000,0.500,1,1,2,10.1,87,87,2785,,,,,,,,
