instance_id,db,dialect,n_gold,n_pred,n_tables_db,hit,recall,precision,strict,anchor_hit,max_gold_rank,ms,missed
bq010,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,1696.4,
bq009,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,33.3,
bq001,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,33.7,
bq002,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,33.3,
bq003,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,33.0,
bq004,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,33.7,
bq008,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,34.0,
bq269,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,18.4,
bq268,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,24.4,
bq270,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,22.5,
bq275,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,14.6,
bq374,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,16.6,
bq032,noaa_data,bigquery,1,20,33,1,1.000,0.050,1,1,1,159.0,
bq119,noaa_data,bigquery,1,20,33,1,1.000,0.050,1,1,1,124.0,
sf_bq117,NOAA_DATA,snowflake,1,12,33,1,1.000,0.083,1,1,1,71.5,
bq419,noaa_data,bigquery,1,17,33,1,1.000,0.059,1,1,1,87.5,
sf_bq071,NOAA_DATA_PLUS,snowflake,2,20,48,2,1.000,0.100,1,1,2,176.6,
sf_bq236,NOAA_DATA_PLUS,snowflake,2,20,48,2,1.000,0.100,1,1,6,145.0,
bq356,noaa_data,bigquery,2,13,33,2,1.000,0.154,1,0,9,129.9,
bq042,noaa_data,bigquery,1,18,33,1,1.000,0.056,1,1,5,64.7,
bq394,noaa_data,bigquery,1,12,33,1,1.000,0.083,1,1,2,61.6,
bq357,noaa_data,bigquery,1,20,33,1,1.000,0.050,1,1,2,68.3,
bq181,noaa_data,bigquery,2,13,33,2,1.000,0.154,1,0,9,64.0,
bq045,noaa_data,bigquery,2,20,33,2,1.000,0.100,1,1,6,116.2,
sf_bq358,NEW_YORK_CITIBIKE_1,snowflake,3,12,21,3,1.000,0.250,1,1,3,62.1,
bq290,noaa_data,bigquery,2,20,33,2,1.000,0.100,1,0,9,88.8,
bq031,noaa_data,bigquery,2,13,33,1,0.500,0.077,0,0,28,89.8,bigquery-public-data.noaa_gsod.stations
sf_bq050,NEW_YORK_CITIBIKE_1,snowflake,5,12,21,4,0.800,0.333,0,0,16,64.6,new_york_citibike_1.noaa_gsod.stations
sf_bq426,NEW_YORK_CITIBIKE_1,snowflake,4,12,21,3,0.750,0.250,0,0,14,38.0,new_york_citibike_1.noaa_gsod.stations
bq208,new_york_noaa,bigquery,2,11,11,2,1.000,0.182,1,0,10,62.5,
bq047,new_york_noaa,bigquery,2,11,11,2,1.000,0.182,1,1,3,31.1,
bq048,new_york_noaa,bigquery,2,11,11,2,1.000,0.182,1,0,7,91.7,
sf_bq007,CENSUS_BUREAU_ACS_2,snowflake,2,20,32,2,1.000,0.100,1,0,16,224.1,
sf_bq429,CENSUS_BUREAU_ACS_2,snowflake,2,20,32,2,1.000,0.100,1,0,16,250.5,
sf_bq073,CENSUS_BUREAU_ACS_2,snowflake,2,20,32,2,1.000,0.100,1,0,15,241.3,
sf_bq410,CENSUS_BUREAU_ACS_2,snowflake,2,20,32,2,1.000,0.100,1,0,20,190.0,
bq034,ghcn_d,bigquery,1,5,5,1,1.000,0.200,1,1,1,8.3,
bq383,ghcn_d,bigquery,1,5,5,1,1.000,0.200,1,1,2,6.2,
bq051,new_york_ghcn,bigquery,3,10,14,3,1.000,0.300,1,0,10,27.5,
bq089,covid19_usa,bigquery,2,12,22,1,0.500,0.083,0,0,20,186.3,bigquery-public-data.covid19_vaccination_access.facility_boundary_us_all
bq407,covid19_usa,bigquery,2,12,22,1,0.500,0.083,0,0,17,276.5,bigquery-public-data.covid19_usafacts.summary
bq338,census_bureau_acs_1,bigquery,1,20,87,1,1.000,0.050,1,1,2,258.1,
bq061,census_bureau_acs_1,bigquery,2,20,87,2,1.000,0.100,1,0,15,343.4,
bq064,census_bureau_acs_1,bigquery,3,20,87,2,0.667,0.100,0,0,,411.3,bigquery-public-data.geo_census_tracts.us_census_tracts_national
bq113,bls,bigquery,2,7,25,2,1.000,0.286,1,1,2,27.8,
bq112,bls,bigquery,3,4,25,3,1.000,0.750,1,0,4,24.7,
bq055,google_dei,bigquery,2,12,24,1,0.500,0.083,0,0,15,30.4,bigquery-public-data.bls.cpsaat18
bq075,google_dei,bigquery,3,12,24,2,0.667,0.167,0,0,15,29.6,bigquery-public-data.bls.cpsaat18
bq406,google_dei,bigquery,1,12,24,1,1.000,0.083,1,1,4,21.9,
bq105,nhtsa_traffic_fatalities_plus,bigquery,4,20,33,3,0.750,0.150,0,0,26,130.7,bigquery-public-data.utility_us.zipcode_area
bq108,nhtsa_traffic_fatalities,bigquery,3,12,20,3,1.000,0.250,1,0,5,73.8,
bq067,nhtsa_traffic_fatalities,bigquery,3,12,20,3,1.000,0.250,1,1,4,181.4,
bq396,nhtsa_traffic_fatalities,bigquery,1,12,20,1,1.000,0.083,1,1,1,82.8,
bq441,nhtsa_traffic_fatalities,bigquery,3,12,20,3,1.000,0.250,1,1,3,253.8,
bq097,sdoh,bigquery,1,20,31,1,1.000,0.050,1,0,13,342.6,
bq120,sdoh,bigquery,2,20,31,2,1.000,0.100,1,0,11,206.9,
bq110,sdoh,bigquery,1,20,31,1,1.000,0.050,1,1,1,325.4,
bq395,sdoh,bigquery,1,19,31,1,1.000,0.053,1,1,1,199.9,
bq352,sdoh,bigquery,2,20,31,1,0.500,0.050,0,0,27,351.8,bigquery-public-data.sdoh_cdc_wonder_natality.county_natality
bq074,sdoh,bigquery,2,20,31,2,1.000,0.100,1,0,14,196.2,
bq066,sdoh,bigquery,2,20,31,2,1.000,0.100,1,0,12,202.4,
sf_bq044,TCGA,snowflake,3,20,50,2,0.667,0.100,0,0,32,424.8,tcga.tcga_versioned.rnaseq_hg19_gdc_2017_02
sf_bq043,TCGA,snowflake,3,20,50,3,1.000,0.150,1,0,11,219.3,
sf_bq147,TCGA,snowflake,1,20,50,1,1.000,0.050,1,0,16,364.8,
sf_bq148,TCGA,snowflake,1,20,50,1,1.000,0.050,1,1,1,206.4,
sf_bq175,TCGA_MITELMAN,snowflake,2,20,69,2,1.000,0.100,1,0,12,481.7,
sf_bq176,TCGA_MITELMAN,snowflake,1,20,69,1,1.000,0.050,1,1,2,221.6,
sf_bq170,TCGA_MITELMAN,snowflake,1,20,69,1,1.000,0.050,1,0,11,559.8,
bq162,HTAN_1,bigquery,2,20,89,1,0.500,0.050,0,0,,469.3,isb-cgc-bq.htan_versioned.imaging_level2_metadata_r5
sf_bq166,TCGA_MITELMAN,snowflake,2,20,69,2,1.000,0.100,1,0,17,512.4,
bq425,ebi_chembl,bigquery,5,20,168,3,0.600,0.150,0,0,42,119.6,bigquery-public-data.ebi_chembl.compound_records_*;bigquery-public-data.ebi_chembl.formulations_*
bq430,ebi_chembl,bigquery,4,20,168,4,1.000,0.200,1,0,16,244.3,
bq023,fec,bigquery,4,20,93,1,0.250,0.050,0,0,28,507.0,bigquery-public-data.fec.indiv*;bigquery-public-data.geo_census_tracts.census_tracts_new_york;bigquery-public-data.hud_zipcode_crosswalk.zipcode_to_census_tracts
bq094,fec,bigquery,4,20,93,0,0.000,0.000,0,0,31,310.7,bigquery-public-data.fec.ccl*;bigquery-public-data.fec.cm*;bigquery-public-data.fec.cn*;bigquery-public-data.fec.indiv*
ga003,firebase,bigquery,1,0,1,0,0.000,0.000,0,0,,2.5,firebase-public-project.analytics_153293282.events_*
ga019,firebase,bigquery,1,1,1,1,1.000,1.000,1,1,1,7.1,
ga030,firebase,bigquery,1,1,1,1,1.000,1.000,1,1,1,20.6,
ga005,firebase,bigquery,1,1,1,1,1.000,1.000,1,1,1,20.6,
ga028,firebase,bigquery,1,1,1,1,1.000,1.000,1,1,1,19.1,
ga020,firebase,bigquery,1,1,1,1,1.000,1.000,1,1,1,21.0,
ga021,firebase,bigquery,1,1,1,1,1.000,1.000,1,1,1,19.0,
ga022,firebase,bigquery,1,1,1,1,1.000,1.000,1,1,1,20.1,
ga025,firebase,bigquery,1,1,1,1,1.000,1.000,1,1,1,7.6,
