instance_id,db,dialect,n_gold,n_pred,n_tables_db,hit,recall,precision,strict,anchor_hit,max_gold_rank,ms,missed
bq011,ga4,bigquery,1,1,1,1,1.000,1.000,1,1,1,1832.8,
bq010,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,33.2,
bq009,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,34.4,
bq001,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,32.6,
bq002,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,35.2,
bq003,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,33.6,
bq004,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,32.6,
bq008,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,32.9,
bq269,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,15.3,
bq268,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,16.3,
bq270,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,21.7,
bq275,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,15.7,
bq374,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,16.7,
sf_bq029,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,13.8,
sf_bq026,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,8.3,
sf_bq091,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,6.6,
sf_bq099,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,8.6,
sf_bq033,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,8.4,
sf_bq209,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,8.6,
sf_bq027,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,7.3,
sf_bq210,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,6.9,
sf_bq211,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,7.0,
sf_bq213,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,33.1,
sf_bq212,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,35.9,
sf_bq214,PATENTS_GOOGLE,snowflake,2,4,4,2,1.000,0.500,1,1,2,40.2,
sf_bq216,PATENTS_GOOGLE,snowflake,2,4,4,2,1.000,0.500,1,1,2,34.7,
sf_bq247,PATENTS_GOOGLE,snowflake,2,4,4,2,1.000,0.500,1,1,2,9.5,
sf_bq127,PATENTS_GOOGLE,snowflake,2,4,4,2,1.000,0.500,1,1,2,9.9,
sf_bq215,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,34.2,
sf_bq222,PATENTS,snowflake,2,3,3,2,1.000,0.667,1,1,2,19.5,
sf_bq221,PATENTS,snowflake,2,3,3,2,1.000,0.667,1,1,2,20.2,
sf_bq223,PATENTS,snowflake,2,3,3,2,1.000,0.667,1,1,2,66.7,
sf_bq420,PATENTS_USPTO,snowflake,3,20,46,2,0.667,0.100,0,0,44,49.4,patents_uspto.uspto_oce_office_actions.match_app
sf_bq207,PATENTS_USPTO,snowflake,3,20,46,2,0.667,0.100,0,0,28,29.9,patents_uspto.uspto_oce_assignment.match
sf_bq128,PATENTSVIEW,snowflake,4,20,59,4,1.000,0.200,1,0,20,69.9,
sf_bq246,PATENTSVIEW,snowflake,3,20,59,3,1.000,0.150,1,1,6,24.4,
sf_bq052,PATENTSVIEW,snowflake,5,20,59,5,1.000,0.250,1,0,18,24.4,
sf_bq036,GITHUB_REPOS,snowflake,2,6,6,2,1.000,0.333,1,0,6,10.0,
sf_bq100,GITHUB_REPOS,snowflake,1,6,6,1,1.000,0.167,1,1,1,6.4,
sf_bq101,GITHUB_REPOS,snowflake,1,6,6,1,1.000,0.167,1,1,1,6.9,
sf_bq182,GITHUB_REPOS_DATE,snowflake,2,2,9,1,0.500,0.500,0,0,9,10.2,github_repos_date.day._*
sf_bq217,GITHUB_REPOS_DATE,snowflake,2,2,9,1,0.500,0.500,0,0,9,7.3,github_repos_date.day._*
sf_bq191,GITHUB_REPOS_DATE,snowflake,3,6,9,2,0.667,0.333,0,0,9,6.4,github_repos_date.year._*
sf_bq224,GITHUB_REPOS_DATE,snowflake,2,2,9,1,0.500,0.500,0,0,8,5.9,github_repos_date.month._*
sf_bq192,GITHUB_REPOS_DATE,snowflake,3,6,9,2,0.667,0.333,0,0,8,7.7,github_repos_date.month._*
sf_bq225,GITHUB_REPOS,snowflake,2,6,6,2,1.000,0.333,1,1,2,8.5,
sf_bq180,GITHUB_REPOS,snowflake,2,6,6,2,1.000,0.333,1,1,2,6.2,
sf_bq233,GITHUB_REPOS,snowflake,2,6,6,2,1.000,0.333,1,1,3,5.0,
sf_bq248,GITHUB_REPOS,snowflake,3,6,6,3,1.000,0.500,1,1,3,5.3,
sf_bq193,GITHUB_REPOS,snowflake,3,6,6,3,1.000,0.500,1,0,3,5.6,
sf_bq295,GITHUB_REPOS_DATE,snowflake,3,6,9,3,1.000,0.500,1,0,6,6.3,
sf_bq249,GITHUB_REPOS,snowflake,1,6,6,1,1.000,0.167,1,0,2,5.8,
sf_bq375,GITHUB_REPOS,snowflake,1,6,6,1,1.000,0.167,1,1,1,4.7,
sf_bq255,GITHUB_REPOS,snowflake,3,6,6,3,1.000,0.500,1,1,3,5.9,
sf_bq194,GITHUB_REPOS,snowflake,2,6,6,2,1.000,0.333,1,1,2,4.9,
sf_bq377,GITHUB_REPOS,snowflake,1,6,6,1,1.000,0.167,1,1,1,5.5,
sf_bq359,GITHUB_REPOS,snowflake,2,6,6,2,1.000,0.333,1,1,2,4.3,
sf_bq252,GITHUB_REPOS,snowflake,2,6,6,2,1.000,0.333,1,1,2,4.6,
sf_bq251,PYPI,snowflake,2,2,2,2,1.000,1.000,1,1,2,12.7,
bq019,cms_data,bigquery,1,12,38,1,1.000,0.083,1,1,2,67.0,
bq234,cms_data,bigquery,1,10,38,1,1.000,0.100,1,1,2,43.0,
bq235,cms_data,bigquery,2,12,38,2,1.000,0.167,1,1,4,44.0,
bq172,cms_data,bigquery,1,17,38,1,1.000,0.059,1,1,2,43.2,
bq177,cms_data,bigquery,2,13,38,2,1.000,0.154,1,1,5,45.5,
bq354,cms_data,bigquery,5,20,38,5,1.000,0.250,1,0,19,57.1,
bq355,cms_data,bigquery,4,4,38,0,0.000,0.000,0,0,33,44.4,bigquery-public-data.cms_synthetic_patient_data_omop.concept;bigquery-public-data.cms_synthetic_patient_data_omop.concept_ancestor;bigquery-public-data.cms_synthetic_patient_data_omop.drug_exposure;bigquery-public-data.cms_synthetic_patient_data_omop.person
bq032,noaa_data,bigquery,1,20,33,1,1.000,0.050,1,1,1,166.9,
bq119,noaa_data,bigquery,1,20,33,1,1.000,0.050,1,1,1,135.9,
sf_bq117,NOAA_DATA,snowflake,1,12,33,1,1.000,0.083,1,1,1,78.5,
bq419,noaa_data,bigquery,1,17,33,1,1.000,0.059,1,1,1,7857.3,
sf_bq071,NOAA_DATA_PLUS,snowflake,2,20,48,2,1.000,0.100,1,1,2,192.2,
sf_bq236,NOAA_DATA_PLUS,snowflake,2,20,48,2,1.000,0.100,1,1,6,147.9,
bq356,noaa_data,bigquery,2,13,33,2,1.000,0.154,1,0,9,83.3,
bq042,noaa_data,bigquery,1,18,33,1,1.000,0.056,1,1,5,132.4,
bq394,noaa_data,bigquery,1,12,33,1,1.000,0.083,1,1,2,61.0,
bq357,noaa_data,bigquery,1,20,33,1,1.000,0.050,1,1,2,68.8,
bq181,noaa_data,bigquery,2,13,33,2,1.000,0.154,1,0,9,62.2,
bq045,noaa_data,bigquery,2,20,33,2,1.000,0.100,1,1,6,66.7,
sf_bq358,NEW_YORK_CITIBIKE_1,snowflake,3,6,21,3,1.000,0.500,1,1,3,62.7,
bq290,noaa_data,bigquery,2,20,33,2,1.000,0.100,1,0,9,98.7,
bq031,noaa_data,bigquery,2,13,33,1,0.500,0.077,0,0,28,86.9,bigquery-public-data.noaa_gsod.stations
bq392,noaa_gsod,bigquery,1,2,2,1,1.000,0.500,1,1,1,7.2,
sf_bq050,NEW_YORK_CITIBIKE_1,snowflake,5,6,21,4,0.800,0.667,0,0,16,67.9,new_york_citibike_1.noaa_gsod.stations
sf_bq426,NEW_YORK_CITIBIKE_1,snowflake,4,6,21,3,0.750,0.500,0,0,14,40.6,new_york_citibike_1.noaa_gsod.stations
sf_bq291,NOAA_GLOBAL_FORECAST_SYSTEM,snowflake,1,6,11,1,1.000,0.167,1,1,1,17.1,
bq208,new_york_noaa,bigquery,2,6,11,1,0.500,0.167,0,0,10,76.9,bigquery-public-data.noaa_gsod.stations
bq047,new_york_noaa,bigquery,2,6,11,2,1.000,0.333,1,1,3,37.6,
bq048,new_york_noaa,bigquery,2,6,11,1,0.500,0.167,0,0,7,34.7,bigquery-public-data.noaa_gsod.gsod_*
bq293,new_york_geo,bigquery,2,6,24,2,1.000,0.333,1,0,5,122.2,
sf_bq017,GEO_OPENSTREETMAP,snowflake,1,6,10,1,1.000,0.167,1,1,1,13.4,
sf_bq131,GEO_OPENSTREETMAP,snowflake,1,6,10,1,1.000,0.167,1,1,1,11.2,
sf_bq349,GEO_OPENSTREETMAP,snowflake,2,6,10,2,1.000,0.333,1,0,4,13.0,
sf_bq007,CENSUS_BUREAU_ACS_2,snowflake,2,20,32,2,1.000,0.100,1,0,16,214.7,
sf_bq429,CENSUS_BUREAU_ACS_2,snowflake,2,20,32,2,1.000,0.100,1,0,16,204.0,
sf_bq073,CENSUS_BUREAU_ACS_2,snowflake,2,20,32,2,1.000,0.100,1,0,15,196.4,
sf_bq410,CENSUS_BUREAU_ACS_2,snowflake,2,20,32,2,1.000,0.100,1,0,20,205.5,
sf_bq348,GEO_OPENSTREETMAP,snowflake,2,6,10,2,1.000,0.333,1,0,4,14.2,
sf_bq253,GEO_OPENSTREETMAP,snowflake,2,6,10,2,1.000,0.333,1,0,5,9.4,
sf_bq254,GEO_OPENSTREETMAP,snowflake,1,6,10,1,1.000,0.167,1,1,3,10.5,
sf_bq056,GEO_OPENSTREETMAP_BOUNDARIES,snowflake,2,6,25,1,0.500,0.167,0,0,13,39.6,geo_openstreetmap_boundaries.geo_us_boundaries.states
sf_bq289,GEO_OPENSTREETMAP_CENSUS_PLACES,snowflake,2,20,67,2,1.000,0.100,1,1,5,203.5,
sf_bq250,GEO_OPENSTREETMAP_WORLDPOP,snowflake,2,6,11,2,1.000,0.333,1,1,3,16.0,
sf_bq083,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,0,7,158.3,
sf_bq184,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,2,106.6,
sf_bq195,CRYPTO,snowflake,3,20,39,3,1.000,0.150,1,0,9,96.9,
sf_bq256,CRYPTO,snowflake,3,20,39,3,1.000,0.150,1,0,10,112.9,
sf_bq080,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,2,109.8,
sf_bq342,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,3,109.2,
sf_bq341,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,2,99.4,
sf_bq444,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,2,143.9,
sf_bq340,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,4,95.8,
sf_bq005,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,3,92.2,
sf_bq334,CRYPTO,snowflake,3,20,39,3,1.000,0.150,1,0,9,100.7,
sf_bq335,CRYPTO,snowflake,2,20,39,2,1.000,0.100,1,0,9,89.7,
sf_bq057,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,3,97.2,
sf_bq068,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,1,92.9,
sf_bq092,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,0,13,95.6,
sf_bq093,CRYPTO,snowflake,3,20,39,3,1.000,0.150,1,0,16,92.1,
sf_bq292,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,2,90.6,
sf_bq135,CRYPTO,snowflake,2,20,39,2,1.000,0.100,1,0,7,81.8,
sf_bq136,CRYPTO,snowflake,2,20,39,2,1.000,0.100,1,1,5,99.4,
sf_bq065,CRYPTO,snowflake,1,20,39,1,1.000,0.050,1,1,1,90.3,
sf_bq037,HUMAN_GENOME_VARIANTS,snowflake,1,5,8,1,1.000,0.200,1,1,1,27.8,
sf_bq012,ETHEREUM_BLOCKCHAIN,snowflake,3,6,7,3,1.000,0.500,1,0,4,21.5,
sf_bq187,ETHEREUM_BLOCKCHAIN,snowflake,2,6,7,2,1.000,0.333,1,1,3,13.4,
sf_bq450,ETHEREUM_BLOCKCHAIN,snowflake,5,6,7,5,1.000,0.833,1,0,6,35.2,
bq034,ghcn_d,bigquery,1,5,5,1,1.000,0.200,1,1,1,9.1,
bq383,ghcn_d,bigquery,1,5,5,1,1.000,0.200,1,1,2,6.1,
bq051,new_york_ghcn,bigquery,3,6,14,1,0.333,0.167,0,0,10,44.8,bigquery-public-data.ghcn_d.ghcnd_*;bigquery-public-data.ghcn_d.ghcnd_stations
bq038,new_york,bigquery,1,6,9,1,1.000,0.167,1,1,2,18.3,
bq053,new_york,bigquery,2,6,9,2,1.000,0.333,1,1,2,17.2,
bq054,new_york,bigquery,1,6,9,1,1.000,0.167,1,1,1,17.3,
bq021,new_york,bigquery,2,6,9,2,1.000,0.333,1,0,5,16.0,
bq202,new_york_plus,bigquery,1,6,18,1,1.000,0.167,1,1,1,30.4,
bq185,new_york_plus,bigquery,2,6,18,1,0.500,0.167,0,0,8,24.3,bigquery-public-data.new_york_taxi_trips.taxi_zone_geom
bq040,new_york_plus,bigquery,2,6,18,2,1.000,0.333,1,0,5,35.1,
bq098,new_york_plus,bigquery,2,6,18,1,0.500,0.167,0,0,7,37.6,bigquery-public-data.new_york_taxi_trips.taxi_zone_geom
bq039,new_york_plus,bigquery,2,6,18,2,1.000,0.333,1,0,6,30.3,
bq203,new_york_plus,bigquery,2,6,18,2,1.000,0.333,1,0,4,21.8,
bq035,san_francisco,bigquery,2,5,8,2,1.000,0.400,1,1,2,23.4,
bq186,san_francisco,bigquery,1,6,8,1,1.000,0.167,1,1,1,13.0,
bq081,san_francisco_plus,bigquery,3,6,19,2,0.667,0.333,0,0,7,39.2,bigquery-public-data.san_francisco_bikeshare.bikeshare_regions
sf_bq294,SAN_FRANCISCO_PLUS,snowflake,3,6,19,2,0.667,0.333,0,0,10,40.0,san_francisco_plus.san_francisco_bikeshare.bikeshare_regions
bq339,san_francisco_plus,bigquery,1,6,19,1,1.000,0.167,1,1,1,26.2,
bq400,san_francisco_plus,bigquery,3,6,19,2,0.667,0.333,0,0,7,24.0,bigquery-public-data.san_francisco_transit_muni.stops
bq059,san_francisco_plus,bigquery,3,6,19,2,0.667,0.333,0,0,8,22.2,bigquery-public-data.san_francisco_bikeshare.bikeshare_station_info
bq376,san_francisco_plus,bigquery,6,6,19,4,0.667,0.667,0,0,9,20.0,bigquery-public-data.san_francisco_bikeshare.bikeshare_regions;bigquery-public-data.san_francisco_neighborhoods.boundaries
sf_bq014,THELOOK_ECOMMERCE,snowflake,3,6,7,3,1.000,0.500,1,0,4,10.5,
sf_bq188,THELOOK_ECOMMERCE,snowflake,3,6,7,3,1.000,0.500,1,0,6,6.0,
sf_bq258,THELOOK_ECOMMERCE,snowflake,3,6,7,3,1.000,0.500,1,0,4,7.6,
sf_bq259,THELOOK_ECOMMERCE,snowflake,1,6,7,1,1.000,0.167,1,1,2,6.1,
sf_bq189,THELOOK_ECOMMERCE,snowflake,3,6,7,3,1.000,0.500,1,0,4,7.4,
sf_bq260,THELOOK_ECOMMERCE,snowflake,1,6,7,1,1.000,0.167,1,1,1,5.7,
sf_bq261,THELOOK_ECOMMERCE,snowflake,2,6,7,2,1.000,0.333,1,0,4,6.3,
sf_bq262,THELOOK_ECOMMERCE,snowflake,3,6,7,3,1.000,0.500,1,0,4,7.6,
sf_bq190,THELOOK_ECOMMERCE,snowflake,1,6,7,1,1.000,0.167,1,1,1,7.2,
sf_bq263,THELOOK_ECOMMERCE,snowflake,3,6,7,3,1.000,0.500,1,0,4,6.6,
sf_bq264,THELOOK_ECOMMERCE,snowflake,1,6,7,1,1.000,0.167,1,1,1,6.9,
sf_bq197,THELOOK_ECOMMERCE,snowflake,2,6,7,2,1.000,0.333,1,1,3,6.3,
sf_bq265,THELOOK_ECOMMERCE,snowflake,3,6,7,3,1.000,0.500,1,1,3,6.0,
sf_bq266,THELOOK_ECOMMERCE,snowflake,2,6,7,2,1.000,0.333,1,1,3,5.6,
sf_bq333,THELOOK_ECOMMERCE,snowflake,1,6,7,1,1.000,0.167,1,1,1,6.0,
sf_bq361,THELOOK_ECOMMERCE,snowflake,1,6,7,1,1.000,0.167,1,1,3,6.7,
sf_bq271,THELOOK_ECOMMERCE,snowflake,5,6,7,4,0.800,0.667,0,0,7,6.3,thelook_ecommerce.thelook_ecommerce.distribution_centers
sf_bq272,THELOOK_ECOMMERCE,snowflake,2,6,7,2,1.000,0.333,1,1,3,6.5,
sf_bq273,THELOOK_ECOMMERCE,snowflake,4,6,7,4,1.000,0.667,1,0,5,6.5,
sf_bq020,GENOMICS_CANNABIS,snowflake,2,6,7,2,1.000,0.333,1,1,3,15.8,
sf_bq107,GENOMICS_CANNABIS,snowflake,2,6,7,2,1.000,0.333,1,1,3,8.7,
bq025,census_bureau_international,bigquery,2,6,8,2,1.000,0.333,1,0,4,10.4,
bq115,census_bureau_international,bigquery,2,6,8,1,0.500,0.167,0,0,7,11.1,bigquery-public-data.census_bureau_international.midyear_population
bq030,covid19_open_data,bigquery,1,1,1,1,1.000,1.000,1,1,1,33.2,
bq018,covid19_open_data,bigquery,1,1,1,1,1.000,1.000,1,1,1,27.4,
bq086,covid19_open_world_bank,bigquery,2,5,22,2,1.000,0.400,1,0,3,57.6,
bq085,covid19_jhu_world_bank,bigquery,2,6,25,0,0.000,0.000,0,0,12,78.2,bigquery-public-data.covid19_jhu_csse.summary;bigquery-public-data.world_bank_wdi.indicators_data
bq130,covid19_nyt,bigquery,2,4,4,2,1.000,0.500,1,1,2,6.8,
bq087,covid19_symptom_search,bigquery,1,4,4,1,1.000,0.250,1,1,2,67.3,
bq088,covid19_symptom_search,bigquery,1,4,4,1,1.000,0.250,1,1,1,62.6,
bq089,covid19_usa,bigquery,2,6,22,0,0.000,0.000,0,0,18,192.2,bigquery-public-data.census_bureau_acs.censustract_*_*yr;bigquery-public-data.covid19_vaccination_access.facility_boundary_us_all
bq407,covid19_usa,bigquery,2,6,22,1,0.500,0.167,0,0,17,236.3,bigquery-public-data.covid19_usafacts.summary
bq137,census_bureau_usa,bigquery,2,6,13,2,1.000,0.333,1,0,5,33.6,
bq060,census_bureau_international,bigquery,2,6,8,2,1.000,0.333,1,1,3,9.7,
bq338,census_bureau_acs_1,bigquery,1,20,87,1,1.000,0.050,1,1,2,270.7,
bq061,census_bureau_acs_1,bigquery,2,20,87,2,1.000,0.100,1,0,15,256.6,
bq064,census_bureau_acs_1,bigquery,3,20,87,2,0.667,0.100,0,0,,419.4,bigquery-public-data.geo_census_tracts.us_census_tracts_national
bq461,ncaa_basketball,bigquery,1,6,10,1,1.000,0.167,1,1,2,200.9,
bq198,ncaa_basketball,bigquery,1,6,10,1,1.000,0.167,1,0,5,28.2,
bq462,ncaa_basketball,bigquery,1,6,10,1,1.000,0.167,1,1,1,35.2,
bq427,ncaa_basketball,bigquery,1,6,10,1,1.000,0.167,1,1,1,41.7,
bq428,ncaa_basketball,bigquery,2,6,10,2,1.000,0.333,1,0,4,41.8,
bq144,ncaa_insights,bigquery,3,6,15,2,0.667,0.333,0,0,8,100.4,data-to-insights.ncaa.2018_tournament_results
bq113,bls,bigquery,2,6,25,2,1.000,0.333,1,1,2,40.7,
bq112,bls,bigquery,3,4,25,3,1.000,0.750,1,0,4,25.6,
bq055,google_dei,bigquery,2,6,24,1,0.500,0.167,0,0,15,26.0,bigquery-public-data.bls.cpsaat18
bq075,google_dei,bigquery,3,6,24,2,0.667,0.333,0,0,15,25.1,bigquery-public-data.bls.cpsaat18
bq406,google_dei,bigquery,1,6,24,1,1.000,0.167,1,0,4,19.8,
sf_bq084,GOOG_BLOCKCHAIN,snowflake,1,6,7,1,1.000,0.167,1,1,2,23.6,
sf_bq058,GOOG_BLOCKCHAIN,snowflake,1,6,7,1,1.000,0.167,1,0,4,28.0,
