instance_id,db,dialect,n_gold,n_pred,n_tables_db,hit,recall,precision,strict,anchor_hit,max_gold_rank,ms,missed
bq011,ga4,bigquery,1,1,1,1,1.000,1.000,1,1,1,1538.5,
bq010,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,32.6,
bq009,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,31.5,
bq001,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,30.5,
bq002,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,31.4,
bq003,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,30.0,
bq004,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,30.6,
bq008,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,33.2,
bq269,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,14.1,
bq268,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,13.4,
bq270,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,20.3,
bq275,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,13.4,
bq374,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,15.6,
sf_bq029,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,12.6,
sf_bq026,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,7.7,
sf_bq091,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,6.2,
sf_bq099,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,6.9,
sf_bq033,PATENTS,snowflake,1,2,3,1,1.000,0.500,1,1,1,7.2,
sf_bq209,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,9.3,
sf_bq027,PATENTS,snowflake,1,2,3,1,1.000,0.500,1,1,1,6.8,
sf_bq210,PATENTS,snowflake,1,2,3,1,1.000,0.500,1,1,1,6.3,
sf_bq211,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,7.0,
sf_bq213,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,30.4,
sf_bq212,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,31.3,
sf_bq214,PATENTS_GOOGLE,snowflake,2,4,4,2,1.000,0.500,1,1,2,37.7,
sf_bq216,PATENTS_GOOGLE,snowflake,2,4,4,2,1.000,0.500,1,1,2,34.1,
sf_bq247,PATENTS_GOOGLE,snowflake,2,3,4,2,1.000,0.667,1,1,2,38.7,
