instance_id,db,dialect,n_gold,n_pred,n_tables_db,hit,recall,precision,strict,anchor_hit,max_gold_rank,ms,missed
bq011,ga4,bigquery,1,1,1,1,1.000,1.000,1,1,1,1586.0,
bq010,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,31.5,
bq009,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,31.1,
bq001,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,28.8,
bq002,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,30.9,
bq003,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,30.2,
bq004,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,30.3,
bq008,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,30.3,
bq269,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,13.9,
bq268,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,16.1,
bq270,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,20.6,
bq275,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,13.1,
bq374,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,14.8,
sf_bq029,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,12.7,
sf_bq026,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,7.3,
sf_bq091,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,6.1,
sf_bq099,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,7.0,
sf_bq033,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,6.9,
sf_bq209,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,8.0,
sf_bq027,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,6.8,
sf_bq210,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,6.0,
sf_bq211,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,6.4,
sf_bq213,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,30.3,
sf_bq212,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,31.0,
sf_bq214,PATENTS_GOOGLE,snowflake,2,4,4,2,1.000,0.500,1,1,2,37.6,
sf_bq216,PATENTS_GOOGLE,snowflake,2,4,4,2,1.000,0.500,1,1,2,31.8,
sf_bq247,PATENTS_GOOGLE,snowflake,2,4,4,2,1.000,0.500,1,1,2,8.0,
sf_bq127,PATENTS_GOOGLE,snowflake,2,4,4,2,1.000,0.500,1,1,2,8.3,
sf_bq215,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,33.2,
sf_bq222,PATENTS,snowflake,2,3,3,2,1.000,0.667,1,1,2,18.0,
sf_bq221,PATENTS,snowflake,2,3,3,2,1.000,0.667,1,1,2,18.4,
sf_bq223,PATENTS,snowflake,2,3,3,2,1.000,0.667,1,1,2,59.4,
sf_bq420,PATENTS_USPTO,snowflake,3,20,46,2,0.667,0.100,0,0,44,44.5,patents_uspto.uspto_oce_office_actions.match_app
sf_bq207,PATENTS_USPTO,snowflake,3,20,46,2,0.667,0.100,0,0,26,25.8,patents_uspto.uspto_oce_assignment.match
sf_bq128,PATENTSVIEW,snowflake,4,20,59,3,0.750,0.150,0,0,30,62.4,patentsview.patentsview.uspatentcitation
sf_bq246,PATENTSVIEW,snowflake,3,20,59,3,1.000,0.150,1,0,13,21.2,
sf_bq052,PATENTSVIEW,snowflake,5,20,59,3,0.600,0.150,0,0,25,21.2,patentsview.patentsview.brf_sum_text;patentsview.patentsview.uspatentcitation
sf_bq036,GITHUB_REPOS,snowflake,2,6,6,2,1.000,0.333,1,0,6,9.2,
sf_bq100,GITHUB_REPOS,snowflake,1,6,6,1,1.000,0.167,1,1,1,5.4,
sf_bq101,GITHUB_REPOS,snowflake,1,6,6,1,1.000,0.167,1,1,1,5.6,
sf_bq182,GITHUB_REPOS_DATE,snowflake,2,9,9,2,1.000,0.222,1,0,8,9.3,
sf_bq217,GITHUB_REPOS_DATE,snowflake,2,9,9,2,1.000,0.222,1,0,8,4.9,
sf_bq191,GITHUB_REPOS_DATE,snowflake,3,9,9,3,1.000,0.333,1,0,9,5.0,
sf_bq224,GITHUB_REPOS_DATE,snowflake,2,9,9,2,1.000,0.222,1,0,9,4.7,
sf_bq192,GITHUB_REPOS_DATE,snowflake,3,9,9,3,1.000,0.333,1,0,9,6.1,
sf_bq225,GITHUB_REPOS,snowflake,2,6,6,2,1.000,0.333,1,1,3,6.9,
sf_bq180,GITHUB_REPOS,snowflake,2,6,6,2,1.000,0.333,1,1,2,4.0,
sf_bq233,GITHUB_REPOS,snowflake,2,6,6,2,1.000,0.333,1,1,3,4.6,
sf_bq248,GITHUB_REPOS,snowflake,3,6,6,3,1.000,0.500,1,1,3,4.1,
sf_bq193,GITHUB_REPOS,snowflake,3,6,6,3,1.000,0.500,1,0,3,4.8,
