instance_id,db,dialect,n_gold,n_pred,n_tables_db,hit,recall,precision,strict,anchor_hit,max_gold_rank,ms,n_cols_db,n_cols_graph,ddl_tokens,n_gold_cols,n_pred_cols,col_recall,col_precision,col_strict,unresolved_cols,missed,missed_cols
bq011,ga4,bigquery,1,1,1,1,1.000,1.000,1,1,1,32.6,2116,108,1318,3,60,1.000,0.050,1,3,,
bq010,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,37.1,5522,338,2787,,,,,,7,,
bq009,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,28.3,5522,338,2803,,,,,,7,,
bq001,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,27.9,5522,338,2775,3,60,1.000,0.050,1,8,,
bq002,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,29.7,5522,338,2913,2,60,1.000,0.033,1,11,,
bq003,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,26.1,5522,338,2901,,,,,,11,,
bq004,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,27.2,5522,338,2786,,,,,,8,,
bq008,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,28.7,5522,338,2800,4,60,1.000,0.067,1,11,,
bq269,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,11.6,5522,338,3014,2,60,1.000,0.033,1,7,,
bq268,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,10.7,5522,338,1129,4,60,0.500,0.033,0,9,,ga_sessions_*.date;ga_sessions_*.hits
bq270,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,17.5,5522,338,1087,,,,,,10,,
bq275,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,11.4,5522,338,966,3,60,0.667,0.033,0,5,,ga_sessions_*.hits
bq374,ga360,bigquery,1,1,1,1,1.000,1.000,1,1,1,13.1,5522,338,3005,,,,,,11,,
sf_bq029,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,10.5,79,79,2436,,,,,,,,
sf_bq026,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,7.5,79,79,2436,,,,,,,,
sf_bq091,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,6.6,79,79,2436,4,79,1.000,0.051,1,4,,
sf_bq099,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,7.2,79,79,2436,5,79,1.000,0.063,1,8,,
sf_bq033,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,7.4,79,79,2436,4,79,1.000,0.051,1,5,,
sf_bq209,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,8.5,79,79,2436,5,79,1.000,0.063,1,5,,
sf_bq027,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,7.3,79,79,2436,,,,,,,,
sf_bq210,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,6.5,79,79,2436,4,79,1.000,0.051,1,3,,
sf_bq211,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,7.1,79,79,2436,,,,,,,,
sf_bq213,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,26.0,79,79,2436,4,79,1.000,0.051,1,2,,
sf_bq212,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,27.6,79,79,2436,,,,,,,,
sf_bq214,PATENTS_GOOGLE,snowflake,2,4,4,2,1.000,0.500,1,1,2,29.9,87,87,2799,,,,,,,,
sf_bq216,PATENTS_GOOGLE,snowflake,2,4,4,2,1.000,0.500,1,1,2,27.8,87,87,2799,5,87,1.000,0.057,1,10,,
sf_bq247,PATENTS_GOOGLE,snowflake,2,4,4,2,1.000,0.500,1,1,2,6.9,87,87,2799,,,,,,,,
sf_bq127,PATENTS_GOOGLE,snowflake,2,4,4,2,1.000,0.500,1,1,2,8.1,87,87,2799,10,87,1.000,0.115,1,5,,
sf_bq215,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,26.2,79,79,2436,,,,,,,,
sf_bq222,PATENTS,snowflake,2,3,3,2,1.000,0.667,1,1,2,16.7,79,79,2436,9,79,1.000,0.114,1,4,,
sf_bq221,PATENTS,snowflake,2,3,3,2,1.000,0.667,1,1,2,16.4,79,79,2436,7,79,1.000,0.089,1,7,,
sf_bq223,PATENTS,snowflake,2,3,3,2,1.000,0.667,1,1,2,29.3,79,79,2436,6,79,1.000,0.076,1,5,,
sf_bq420,PATENTS_USPTO,snowflake,3,20,46,2,0.667,0.100,0,0,36,23.7,444,444,6814,,,,,,,patents_uspto.uspto_oce_office_actions.match_app,
sf_bq207,PATENTS_USPTO,snowflake,3,20,46,2,0.667,0.100,0,0,22,16.2,444,444,7907,,,,,,,patents_uspto.uspto_oce_assignment.match,
sf_bq128,PATENTSVIEW,snowflake,4,20,59,4,1.000,0.200,1,0,17,19.4,304,304,4368,12,105,1.000,0.114,1,2,,
sf_bq246,PATENTSVIEW,snowflake,3,20,59,3,1.000,0.150,1,1,5,10.8,304,304,5310,6,108,1.000,0.056,1,2,,
sf_bq052,PATENTSVIEW,snowflake,5,20,59,5,1.000,0.250,1,0,15,11.3,304,304,4525,12,102,1.000,0.118,1,2,,
sf_bq036,GITHUB_REPOS,snowflake,2,6,6,2,1.000,0.333,1,1,6,7.1,34,34,1636,,,,,,,,
sf_bq100,GITHUB_REPOS,snowflake,1,6,6,1,1.000,0.167,1,1,1,6.6,34,34,1636,,,,,,,,
sf_bq101,GITHUB_REPOS,snowflake,1,6,6,1,1.000,0.167,1,1,1,7.0,34,34,1636,,,,,,,,
sf_bq182,GITHUB_REPOS_DATE,snowflake,2,9,9,2,1.000,0.222,1,0,8,10.5,322,61,2223,5,61,1.000,0.082,1,7,,
sf_bq217,GITHUB_REPOS_DATE,snowflake,2,9,9,2,1.000,0.222,1,0,8,6.8,322,61,2223,,,,,,,,
sf_bq191,GITHUB_REPOS_DATE,snowflake,3,9,9,3,1.000,0.333,1,0,9,6.6,322,61,2228,,,,,,,,
