instance_id,db,dialect,n_gold,n_pred,n_tables_db,hit,recall,precision,strict,anchor_hit,max_gold_rank,ms,n_cols_db,n_cols_graph,ddl_tokens,n_gold_cols,n_pred_cols,col_recall,col_precision,col_strict,unresolved_cols,missed,missed_cols
sf_bq011,GA4,snowflake,1,1,1,1,1.000,1.000,1,1,1,5266.3,2116,23,939,,,,,,,,
sf_bq010,GA360,snowflake,1,1,1,1,1.000,1.000,1,1,1,23.5,5522,16,765,,,,,,,,
sf_bq009,GA360,snowflake,1,1,1,1,1.000,1.000,1,1,1,22.6,5522,16,765,,,,,,,,
sf_bq001,GA360,snowflake,1,1,1,1,1.000,1.000,1,1,1,16.5,5522,16,765,,,,,,,,
sf_bq002,GA360,snowflake,1,1,1,1,1.000,1.000,1,1,1,16.6,5522,16,765,,,,,,,,
sf_bq003,GA360,snowflake,1,1,1,1,1.000,1.000,1,1,1,17.0,5522,16,765,,,,,,,,
sf_bq004,GA360,snowflake,1,1,1,1,1.000,1.000,1,1,1,17.2,5522,16,765,,,,,,,,
sf_bq008,GA360,snowflake,1,1,1,1,1.000,1.000,1,1,1,19.6,5522,16,765,,,,,,,,
sf_bq269,GA360,snowflake,1,1,1,1,1.000,1.000,1,1,1,8.7,5522,16,765,,,,,,,,
sf_bq268,GA360,snowflake,1,1,1,1,1.000,1.000,1,1,1,9.1,5522,16,765,,,,,,,,
sf_bq270,GA360,snowflake,1,1,1,1,1.000,1.000,1,1,1,18.0,5522,16,765,,,,,,,,
sf_bq275,GA360,snowflake,1,1,1,1,1.000,1.000,1,1,1,10.2,5522,16,765,,,,,,,,
sf_bq374,GA360,snowflake,1,1,1,1,1.000,1.000,1,1,1,11.6,5522,16,765,,,,,,,,
sf_bq029,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,20.0,79,79,2426,,,,,,,,
sf_bq026,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,9.8,79,79,2436,,,,,,,,
sf_bq091,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,9.2,79,79,2436,6,79,1.000,0.076,1,6,,
sf_bq099,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,10.3,79,79,2426,5,79,1.000,0.063,1,10,,
sf_bq033,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,9.7,79,79,2348,4,79,1.000,0.051,1,5,,
sf_bq209,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,18.1,79,79,2426,6,79,1.000,0.076,1,4,,
sf_bq027,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,9.4,79,79,2426,,,,,,,,
sf_bq210,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,9.2,79,79,2426,5,79,1.000,0.063,1,1,,
sf_bq211,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,9.7,79,79,2436,,,,,,,,
sf_bq213,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,39.1,79,79,2348,5,79,1.000,0.063,1,7,,
sf_bq212,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,46.4,79,79,2348,,,,,,,,
sf_bq214,PATENTS_GOOGLE,snowflake,2,4,4,2,1.000,0.500,1,1,2,52.6,87,87,2785,,,,,,,,
sf_bq216,PATENTS_GOOGLE,snowflake,2,4,4,2,1.000,0.500,1,1,2,43.7,87,87,2785,4,87,1.000,0.046,1,2,,
sf_bq247,PATENTS_GOOGLE,snowflake,2,4,4,2,1.000,0.500,1,1,2,10.9,87,87,2785,,,,,,,,
sf_bq127,PATENTS_GOOGLE,snowflake,2,4,4,2,1.000,0.500,1,1,2,11.8,87,87,2799,10,87,1.000,0.115,1,14,,
sf_bq215,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,42.5,79,79,2348,,,,,,,,
sf_bq222,PATENTS,snowflake,2,3,3,2,1.000,0.667,1,1,2,25.4,79,79,2436,7,79,1.000,0.089,1,8,,
sf_bq221,PATENTS,snowflake,2,3,3,2,1.000,0.667,1,1,2,28.3,79,79,2436,7,79,1.000,0.089,1,15,,
sf_bq223,PATENTS,snowflake,2,3,3,2,1.000,0.667,1,1,2,44.6,79,79,2436,7,79,1.000,0.089,1,8,,
