instance_id,db,dialect,n_gold,n_pred,n_tables_db,hit,recall,precision,strict,anchor_hit,max_gold_rank,ms,n_cols_db,n_cols_graph,ddl_tokens,n_gold_cols,n_pred_cols,col_recall,col_precision,col_strict,unresolved_cols,missed,missed_cols
sf_bq011,GA4,snowflake,1,1,1,1,1.000,1.000,1,1,1,27.0,2116,23,939,,,,,,,,
sf_bq010,GA360,snowflake,1,1,1,1,1.000,1.000,1,1,1,22.6,5522,16,765,,,,,,,,
sf_bq009,GA360,snowflake,1,1,1,1,1.000,1.000,1,1,1,16.2,5522,16,765,,,,,,,,
sf_bq001,GA360,snowflake,1,1,1,1,1.000,1.000,1,1,1,15.7,5522,16,765,,,,,,,,
sf_bq002,GA360,snowflake,1,1,1,1,1.000,1.000,1,1,1,16.4,5522,16,765,,,,,,,,
sf_bq003,GA360,snowflake,1,1,1,1,1.000,1.000,1,1,1,16.6,5522,16,765,,,,,,,,
sf_bq004,GA360,snowflake,1,1,1,1,1.000,1.000,1,1,1,16.0,5522,16,765,,,,,,,,
sf_bq008,GA360,snowflake,1,1,1,1,1.000,1.000,1,1,1,15.9,5522,16,765,,,,,,,,
sf_bq269,GA360,snowflake,1,1,1,1,1.000,1.000,1,1,1,7.1,5522,16,765,,,,,,,,
sf_bq268,GA360,snowflake,1,1,1,1,1.000,1.000,1,1,1,7.0,5522,16,765,,,,,,,,
sf_bq270,GA360,snowflake,1,1,1,1,1.000,1.000,1,1,1,9.7,5522,16,765,,,,,,,,
sf_bq275,GA360,snowflake,1,1,1,1,1.000,1.000,1,1,1,6.6,5522,16,765,,,,,,,,
sf_bq374,GA360,snowflake,1,1,1,1,1.000,1.000,1,1,1,7.6,5522,16,765,,,,,,,,
sf_bq029,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,11.8,79,79,2426,,,,,,,,
sf_bq026,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,9.1,79,79,2436,,,,,,,,
sf_bq091,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,7.4,79,79,2436,6,79,1.000,0.076,1,6,,
sf_bq099,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,8.5,79,79,2436,5,79,1.000,0.063,1,10,,
sf_bq033,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,9.0,79,79,2348,4,79,1.000,0.051,1,5,,
sf_bq209,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,9.4,79,79,2426,6,79,1.000,0.076,1,4,,
sf_bq027,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,9.5,79,79,2426,,,,,,,,
sf_bq210,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,8.7,79,79,2426,5,79,1.000,0.063,1,1,,
sf_bq211,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,9.1,79,79,2436,,,,,,,,
sf_bq213,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,28.7,79,79,2348,5,79,1.000,0.063,1,7,,
sf_bq212,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,30.9,79,79,2348,,,,,,,,
sf_bq214,PATENTS_GOOGLE,snowflake,2,4,4,2,1.000,0.500,1,1,2,32.8,87,87,2799,,,,,,,,
sf_bq216,PATENTS_GOOGLE,snowflake,2,4,4,2,1.000,0.500,1,1,2,31.6,87,87,2799,4,87,1.000,0.046,1,2,,
sf_bq247,PATENTS_GOOGLE,snowflake,2,4,4,2,1.000,0.500,1,1,2,9.5,87,87,2785,,,,,,,,
sf_bq127,PATENTS_GOOGLE,snowflake,2,4,4,2,1.000,0.500,1,1,2,12.2,87,87,2799,10,87,1.000,0.115,1,14,,
sf_bq215,PATENTS,snowflake,1,3,3,1,1.000,0.333,1,1,1,30.6,79,79,2348,,,,,,,,
sf_bq222,PATENTS,snowflake,2,3,3,2,1.000,0.667,1,1,2,18.0,79,79,2436,7,79,1.000,0.089,1,8,,
sf_bq221,PATENTS,snowflake,2,3,3,2,1.000,0.667,1,1,2,17.9,79,79,2436,7,79,1.000,0.089,1,15,,
sf_bq223,PATENTS,snowflake,2,3,3,2,1.000,0.667,1,1,2,36.7,79,79,2436,7,79,1.000,0.089,1,8,,
sf_bq420,PATENTS_USPTO,snowflake,3,20,46,2,0.667,0.100,0,0,36,24.5,444,444,6814,,,,,,,patents_uspto.uspto_oce_office_actions.match_app,
sf_bq207,PATENTS_USPTO,snowflake,3,20,46,2,0.667,0.100,0,0,22,16.1,444,444,7907,,,,,,,patents_uspto.uspto_oce_assignment.match,
sf_bq128,PATENTSVIEW,snowflake,4,20,59,4,1.000,0.200,1,0,17,21.6,304,304,4368,15,105,1.000,0.143,1,4,,
